H,PC,T,SU,S,W
low,green,28,leaf,female,0.1678
low,green,36,leaf,female,0.1874
low,green,36,off-leaf,female,0.1708
low,green,30,off-leaf,female,0.156
low,green,22,off-leaf,male,0.1942
low,brown,22,leaf,male,0.2085
low,green,22,off-leaf,male,0.1896
low,green,22,off-leaf,male,0.2133
low,green,32,off-leaf,female,0.1675
low,green,32,leaf,female,0.2165
low,green,32,leaf,female,0.1488
low,green,32,leaf,female,0.1319
low,green,32,leaf,female,0.1561
low,green,35,off-leaf,male,0.1141
low,brown,24,off-leaf,male,0.1858
low,green,24,leaf,male,0.1989
low,brown,24,off-leaf,male,0.1795
low,green,25,off-leaf,male,0.1675
low,brown,25,leaf,female,0.2304
low,green,27,leaf,male,0.1786
low,green,27,leaf,male,0.1776
low,green,27,leaf,male,0.2058
low,green,27,leaf,female,0.2122
low,green,27,leaf,female,0.2273
low,green,27,leaf,male,0.1982
low,green,27,leaf,male,0.2081
low,green,27,off-leaf,female,0.1904
low,green,27,off-leaf,male,0.2033
low,green,27,leaf,male,0.1703
low,green,27,leaf,female,0.2197
low,brown,20,off-leaf,female,0.2299
low,green,31,off-leaf,female,0.2253
low,green,31,off-leaf,female,0.1988
low,brown,31,off-leaf,female,0.2355
low,green,31,leaf,female,0.2115
low,green,31,leaf,male,0.2083
low,green,31,off-leaf,male,0.1428
low,green,31,leaf,male,0.1495
low,green,28,off-leaf,female,0.2209
low,green,28,off-leaf,male,0.1876
low,green,35,off-leaf,female,0.1879
low,brown,26,off-leaf,female,0.1742
low,green,40,off-leaf,female,0.1787
low,green,40,off-leaf,female,0.1884
low,green,41,leaf,female,0.1773
low,green,29,off-leaf,female,0.2007
low,green,25,off-leaf,female,0.2285
low,green,32,off-leaf,female,0.1622
low,green,33,leaf,female,0.1917
low,green,29,off-leaf,female,0.1718
low,green,28,leaf,female,0.2394
low,green,22,off-leaf,male,0.1994
low,green,25,leaf,female,0.2304
low,green,25,leaf,female,0.2622
low,green,26,leaf,female,0.265
low,green,26,leaf,female,0.2158
low,green,22,leaf,female,0.2088
low,green,21,leaf,female,0.2286
low,green,23,off-leaf,female,0.237
low,green,27,off-leaf,male,0.158
low,green,29,leaf,male,0.1806
low,brown,29,off-leaf,female,0.2011
low,green,34,off-leaf,female,0.1564
low,green,34,leaf,male,0.2178
low,green,34,leaf,female,0.175
low,green,26,off-leaf,female,0.1439
low,green,26,leaf,male,0.1977
low,brown,22,off-leaf,female,0.1819
low,brown,20,off-leaf,female,0.2354
low,green,19,off-leaf,male,0.2063
low,green,19,off-leaf,female,0.1912
low,green,19,leaf,male,0.1978
low,green,19,leaf,male,0.2009
low,green,19,leaf,male,0.2029
low,brown,21,off-leaf,female,0.2947
low,green,32,leaf,female,0.161
low,brown,20,off-leaf,female,0.2399
low,green,22,leaf,female,0.1899
low,green,25,leaf,female,0.2203
low,green,27,off-leaf,female,0.1396
low,green,24,off-leaf,female,0.2128
low,green,26,leaf,male,0.2135
low,green,26,leaf,male,0.1975
low,brown,26,off-leaf,male,0.1918
low,green,26,off-leaf,male,0.1661
low,green,26,leaf,male,0.2172
low,brown,23,off-leaf,female,0.1923
low,green,23,off-leaf,female,0.1997
low,green,23,off-leaf,female,0.2451
low,green,23,leaf,female,0.2067
low,green,23,leaf,male,0.1844
low,green,29,leaf,female,0.1933
low,green,28,off-leaf,female,0.2507
low,green,28,leaf,female,0.2344
high,green,34,leaf,female,0.1578
high,green,33,leaf,male,0.1932
high,green,26,off-leaf,female,0.2008
high,green,26,leaf,female,0.2202
high,green,23,off-leaf,female,0.206
high,green,26,leaf,female,0.2517
